payment_method_id,customer_id,payment_method,is_default,is_active
1,591,americanexpress,,true
2,703,solo,,false
3,519,jcb,,
4,80,visa-electron,,
5,263,visa,,
6,199,diners-club-enroute,,
7,120,china-unionpay,,
8,58,switch,,false
9,849,jcb,,false
10,367,jcb,,false
11,440,mastercard,,
12,893,maestro,,
13,74,mastercard,,true
14,626,jcb,,
15,876,diners-club-carte-blanche,,
16,766,china-unionpay,,
17,903,solo,,false
18,213,solo,,false
19,654,mastercard,,
20,807,jcb,,false
21,959,china-unionpay,,
22,238,americanexpress,true,true
23,901,jcb,,true
24,637,visa-electron,,
25,929,jcb,,
26,711,switch,,true
27,749,jcb,,true
28,356,jcb,,
29,797,jcb,,
30,22,visa-electron,,
31,116,diners-club-enroute,,
32,302,jcb,,
33,97,mastercard,,false
34,241,mastercard,,true
35,819,jcb,,
36,978,jcb,,true
37,879,jcb,,
38,636,jcb,,false
39,822,visa,,true
40,520,bankcard,,
41,395,jcb,,
42,852,bankcard,,
43,553,jcb,,
44,940,visa,,false
45,64,jcb,,false
46,529,jcb,,false
47,735,laser,,
48,72,visa-electron,,
49,397,jcb,,false
50,78,americanexpress,,false
51,285,jcb,,
52,83,instapayment,,true
53,13,jcb,,
54,157,visa,,true
55,341,jcb,,
56,40,jcb,,
57,15,bankcard,,true
58,461,jcb,,false
59,924,maestro,,
60,967,mastercard,,
61,655,bankcard,,
62,486,diners-club-carte-blanche,,true
63,644,maestro,,
64,312,mastercard,,true
65,384,mastercard,,false
66,698,jcb,,
67,837,jcb,,
68,123,diners-club-us-ca,,true
69,232,jcb,,
70,997,mastercard,,true
71,489,jcb,,true
72,913,diners-club-enroute,,
73,134,switch,,
74,124,china-unionpay,,false
75,593,china-unionpay,,true
76,759,americanexpress,,true
77,24,diners-club-us-ca,,
78,607,bankcard,,false
79,469,maestro,,
80,358,jcb,,false
81,337,jcb,,false
82,419,jcb,,
83,93,jcb,,
84,475,mastercard,,
85,529,diners-club-carte-blanche,,
86,507,mastercard,,
87,661,instapayment,,
88,918,diners-club-carte-blanche,,
89,751,switch,,
90,522,jcb,,
91,923,jcb,,false
92,114,jcb,,
93,802,jcb,,true
94,639,jcb,,
95,971,bankcard,,
96,973,jcb,,true
97,532,solo,,false
98,459,maestro,,true
99,159,jcb,,true
100,246,americanexpress,,true
101,297,jcb,,true
102,213,jcb,,true
103,314,jcb,,
104,393,mastercard,,
105,808,jcb,,
106,386,maestro,,false
107,348,diners-club-enroute,,
108,576,mastercard,,
109,328,jcb,,false
110,398,maestro,,false
111,792,instapayment,,
112,113,china-unionpay,,true
113,335,visa,,true
114,737,diners-club-us-ca,,false
115,114,visa-electron,,false
116,751,mastercard,,false
117,289,jcb,,true
118,61,laser,,false
119,63,jcb,,
120,508,maestro,,false
121,505,visa,,
122,881,visa,,true
123,206,jcb,,
124,995,jcb,,false
125,564,laser,,
126,621,jcb,,false
127,921,jcb,,
128,956,maestro,,
129,472,visa-electron,,
130,416,jcb,,
131,438,switch,,true
132,169,jcb,,true
133,60,americanexpress,,true
134,477,mastercard,,
135,800,jcb,,
136,691,maestro,,
137,716,diners-club-carte-blanche,,
138,848,jcb,,false
139,936,switch,,
140,286,diners-club-us-ca,,true
141,117,jcb,,
142,769,instapayment,,false
143,40,mastercard,,false
144,276,jcb,,true
145,768,jcb,,false
146,713,bankcard,,
147,783,jcb,,
148,101,mastercard,,false
149,925,mastercard,,false
150,671,jcb,,true
151,358,jcb,,
152,378,laser,,false
153,144,switch,,
154,394,diners-club-carte-blanche,,
155,743,jcb,,false
156,426,jcb,,true
157,299,instapayment,,true
158,968,diners-club-us-ca,,false
159,6,bankcard,,true
160,565,jcb,,true
161,23,maestro,,
162,977,americanexpress,,true
163,131,jcb,,
164,238,jcb,,
165,143,bankcard,,true
166,666,jcb,,false
167,35,jcb,,true
168,345,bankcard,,false
169,701,mastercard,,false
170,885,jcb,,
171,432,visa-electron,,false
172,479,jcb,,false
173,857,jcb,,true
174,759,jcb,,true
175,17,solo,,
176,861,jcb,,false
177,803,diners-club-carte-blanche,,true
178,442,jcb,,true
179,216,visa-electron,,
180,306,diners-club-enroute,,false
181,992,bankcard,,false
182,1,jcb,,true
183,187,china-unionpay,,true
184,912,jcb,,true
185,998,jcb,,true
186,917,jcb,,true
187,535,jcb,,
188,264,mastercard,,true
189,631,maestro,,true
190,181,bankcard,,false
191,510,maestro,,
192,468,jcb,,
193,363,laser,,
194,59,visa,,
195,662,visa,,
196,346,diners-club-enroute,,
197,580,jcb,,false
198,520,visa-electron,,
199,508,mastercard,,
200,193,maestro,,
201,831,diners-club-carte-blanche,,false
202,398,jcb,,
203,512,maestro,,false
204,658,jcb,,
205,500,diners-club-enroute,,
206,367,jcb,,
207,38,americanexpress,,false
208,723,diners-club-carte-blanche,,
209,604,laser,,
210,921,diners-club-carte-blanche,,true
211,823,switch,,true
212,750,mastercard,,
213,403,visa,,false
214,311,jcb,,false
215,409,switch,,
216,254,maestro,,true
217,61,jcb,,false
218,418,visa,,true
219,257,jcb,,
220,576,maestro,true,true
221,856,jcb,,true
222,549,jcb,,
223,729,jcb,,
224,638,jcb,,
225,349,jcb,,true
226,564,jcb,,
227,227,jcb,,
228,887,switch,,
229,299,mastercard,,
230,953,jcb,,
231,970,switch,,true
232,66,jcb,,
233,326,jcb,,
234,43,china-unionpay,,true
235,77,jcb,,
236,219,jcb,,
237,32,maestro,,
238,172,laser,,
239,702,instapayment,,
240,859,switch,,
241,573,switch,,
242,287,china-unionpay,,false
243,575,switch,,
244,833,laser,,false
245,552,jcb,,true
246,980,diners-club-us-ca,,
247,698,jcb,,
248,981,jcb,,true
249,348,mastercard,,
250,483,jcb,,true
251,524,bankcard,,false
252,365,diners-club-enroute,,
253,487,jcb,,false
254,432,jcb,,true
255,823,jcb,,true
256,203,diners-club-carte-blanche,,
257,337,jcb,,false
258,388,jcb,,
259,397,jcb,,
260,754,jcb,,false
261,245,jcb,,true
262,544,jcb,,
263,73,jcb,,false
264,982,diners-club-international,,false
265,313,jcb,,
266,144,jcb,,
267,928,china-unionpay,,
268,798,maestro,,false
269,733,jcb,,false
270,263,diners-club-carte-blanche,,
271,1,jcb,,false
272,731,jcb,,
273,360,jcb,,
274,960,jcb,,
275,575,mastercard,,true
276,379,jcb,,true
277,505,jcb,,true
278,65,jcb,,true
279,255,china-unionpay,,true
280,393,visa-electron,,false
281,698,jcb,,true
282,408,laser,,true
283,278,diners-club-international,,false
284,852,mastercard,,
285,437,jcb,,true
286,420,jcb,,
287,766,jcb,,true
288,107,bankcard,,true
289,865,switch,,
290,397,jcb,,false
291,605,jcb,,true
292,25,china-unionpay,,false
293,964,mastercard,,true
294,665,jcb,,false
295,737,jcb,,false
296,723,jcb,,true
297,368,jcb,,
298,820,mastercard,,
299,30,jcb,,
300,270,diners-club-carte-blanche,,
301,472,jcb,,false
302,398,china-unionpay,,
303,535,visa-electron,,false
304,757,diners-club-enroute,,false
305,265,mastercard,,true
306,873,diners-club-enroute,,
307,870,mastercard,,
308,98,jcb,,
309,24,jcb,,
310,228,americanexpress,,
311,611,jcb,,false
312,862,jcb,,
313,62,mastercard,,true
314,923,jcb,,false
315,13,jcb,,false
316,689,jcb,,false
317,109,mastercard,,
318,79,diners-club-enroute,,
319,446,instapayment,,
320,156,maestro,,true
321,129,bankcard,,false
322,500,mastercard,,false
323,355,china-unionpay,,
324,157,diners-club-carte-blanche,,
325,301,china-unionpay,,
326,802,instapayment,,false
327,754,switch,,false
328,430,diners-club-enroute,,
329,917,bankcard,,
330,21,instapayment,,true
331,708,jcb,,
332,906,diners-club-us-ca,,
333,218,jcb,,
334,629,switch,,true
335,294,maestro,,
336,973,diners-club-carte-blanche,,
337,92,mastercard,,
338,334,americanexpress,,
339,69,bankcard,,
340,375,china-unionpay,,
341,37,jcb,,
342,106,visa,,false
343,382,jcb,,
344,502,jcb,,
345,873,jcb,,
346,612,jcb,,false
347,567,jcb,,
348,465,jcb,,
349,918,jcb,,
350,950,jcb,,
351,167,americanexpress,,false
352,769,switch,,
353,577,diners-club-carte-blanche,,
354,703,americanexpress,,true
355,416,jcb,,true
356,397,bankcard,,
357,510,jcb,,
358,40,jcb,,false
359,430,diners-club-enroute,,false
360,176,visa-electron,,true
361,645,diners-club-carte-blanche,,false
362,680,mastercard,,true
363,952,visa-electron,,
364,593,jcb,,
365,16,jcb,,false
366,638,americanexpress,,true
367,945,jcb,true,false
368,870,bankcard,,false
369,433,diners-club-enroute,,true
370,455,americanexpress,,
371,821,jcb,,false
372,592,instapayment,,
373,52,maestro,,
374,747,jcb,,
375,325,visa-electron,,
376,833,jcb,,
377,971,maestro,,true
378,90,jcb,,
379,504,diners-club-carte-blanche,,false
380,536,jcb,,false
381,952,bankcard,,false
382,646,maestro,,
383,351,jcb,,
384,350,jcb,,false
385,36,switch,,
386,686,jcb,,true
387,343,china-unionpay,,
388,408,jcb,,
389,337,jcb,,false
390,138,jcb,,false
391,349,laser,,false
392,526,jcb,,
393,330,diners-club-us-ca,,
394,346,switch,,true
395,801,jcb,,
396,793,visa,,
397,567,jcb,,true
398,81,jcb,,
399,867,jcb,,
400,799,maestro,,true
401,424,visa-electron,,
402,237,laser,,false
403,521,jcb,,true
404,636,jcb,,true
405,839,americanexpress,,
406,12,jcb,,
407,183,diners-club-carte-blanche,,
408,891,jcb,,true
409,181,jcb,,true
410,679,jcb,,false
411,935,jcb,,false
412,135,china-unionpay,,false
413,344,jcb,,
414,608,jcb,,true
415,925,switch,,true
416,721,mastercard,,
417,597,jcb,,
418,686,jcb,,
419,863,jcb,,false
420,73,diners-club-carte-blanche,,
421,547,solo,,false
422,670,mastercard,,
423,771,jcb,,
424,362,switch,,false
425,283,maestro,,
426,1000,maestro,,
427,224,diners-club-enroute,,false
428,815,maestro,,false
429,446,jcb,,
430,95,jcb,,false
431,665,jcb,,true
432,702,americanexpress,,
433,514,americanexpress,,
434,250,jcb,,
435,923,jcb,,true
436,493,bankcard,,
437,572,visa-electron,,false
438,343,jcb,,true
439,444,mastercard,,
440,751,jcb,,false
441,645,jcb,,
442,784,jcb,,
443,284,jcb,,false
444,787,instapayment,,
445,498,diners-club-carte-blanche,,
446,166,visa,,false
447,209,mastercard,,
448,43,americanexpress,,
449,193,jcb,,
450,525,diners-club-us-ca,,true
451,687,mastercard,,
452,669,jcb,,
453,417,mastercard,,
454,861,jcb,,false
455,520,bankcard,,
456,406,switch,,
457,430,jcb,,
458,975,visa-electron,,false
459,38,jcb,,
460,85,mastercard,,false
461,883,jcb,,
462,781,jcb,,false
463,104,maestro,,false
464,247,diners-club-carte-blanche,,true
465,831,jcb,,
466,177,solo,,
467,29,maestro,,
468,963,laser,,
469,769,jcb,,
470,220,jcb,,false
471,504,jcb,,
472,148,diners-club-carte-blanche,,false
473,722,jcb,,false
474,461,jcb,,
475,902,jcb,,
476,760,visa-electron,,true
477,256,jcb,,
478,324,jcb,,
479,371,switch,,
480,119,jcb,,false
481,725,jcb,,
482,502,jcb,,false
483,720,jcb,,false
484,206,maestro,,false
485,646,switch,,true
486,567,mastercard,,true
487,70,diners-club-carte-blanche,,
488,506,maestro,,
489,301,diners-club-carte-blanche,,
490,559,bankcard,,false
491,6,visa-electron,,
492,574,jcb,,true
493,761,switch,,true
494,717,jcb,,
495,493,laser,,
496,704,jcb,,
497,415,jcb,,true
498,122,jcb,,true
499,890,jcb,,true
500,724,visa-electron,,
501,78,jcb,,
502,532,jcb,,true
503,314,diners-club-carte-blanche,,true
504,401,jcb,,
505,395,diners-club-carte-blanche,,false
506,14,mastercard,,
507,185,jcb,,
508,930,mastercard,,true
509,332,mastercard,,
510,966,diners-club-carte-blanche,,
511,728,bankcard,,true
512,986,visa,,true
513,212,jcb,,
514,514,bankcard,,
515,995,visa-electron,,
516,82,visa-electron,,
517,577,jcb,,
518,252,maestro,,
519,921,visa-electron,,
520,911,diners-club-enroute,,false
521,623,jcb,,
522,406,bankcard,,false
523,404,switch,,
524,502,diners-club-enroute,,
525,587,visa-electron,,false
526,923,jcb,,
527,956,mastercard,,
528,284,instapayment,,false
529,157,jcb,,false
530,557,instapayment,,
531,704,jcb,,false
532,717,maestro,,
533,828,visa-electron,,
534,653,jcb,,true
535,850,china-unionpay,,true
536,899,diners-club-carte-blanche,,false
537,965,laser,,true
538,773,americanexpress,,false
539,256,jcb,,
540,310,diners-club-enroute,,
541,59,diners-club-carte-blanche,,true
542,960,bankcard,,
543,471,jcb,,
544,818,laser,,
545,80,jcb,,false
546,554,jcb,,
547,598,maestro,,
548,936,diners-club-carte-blanche,,
549,445,diners-club-enroute,,
550,479,switch,,
551,712,instapayment,,
552,649,jcb,,
553,258,laser,,
554,986,jcb,,
555,959,mastercard,,false
556,67,instapayment,,true
557,374,visa-electron,,
558,678,china-unionpay,,true
559,623,jcb,,true
560,377,mastercard,,
561,583,jcb,,false
562,420,maestro,,true
563,171,switch,,
564,834,laser,,
565,303,jcb,,
566,83,diners-club-us-ca,,
567,388,jcb,,false
568,796,visa-electron,,true
569,757,jcb,,
570,266,bankcard,,true
571,13,jcb,,false
572,656,china-unionpay,,true
573,608,instapayment,,
574,521,visa,,
575,43,jcb,,false
576,487,mastercard,,
577,873,jcb,,false
578,50,bankcard,,false
579,798,jcb,,false
580,113,bankcard,,true
581,675,bankcard,,true
582,367,solo,,true
583,965,jcb,,true
584,751,visa,,false
585,362,jcb,,false
586,739,jcb,,
587,953,jcb,,true
588,523,diners-club-us-ca,,
589,224,diners-club-enroute,,false
590,379,jcb,,true
591,341,mastercard,,
592,742,visa-electron,,
593,488,jcb,,
594,473,mastercard,,
595,624,jcb,,
596,218,jcb,,
597,178,jcb,,true
598,268,diners-club-enroute,,false
599,841,jcb,,true
600,948,jcb,,
601,171,mastercard,,true
602,184,jcb,,true
603,282,jcb,,
604,692,mastercard,,
605,316,china-unionpay,,
606,995,jcb,,
607,450,maestro,,
608,657,maestro,,
609,188,jcb,,false
610,489,jcb,,true
611,965,switch,,
612,210,jcb,,
613,661,diners-club-enroute,,
614,997,jcb,,
615,527,solo,,false
616,920,mastercard,,true
617,615,switch,,
618,353,visa-electron,,false
619,509,americanexpress,,false
620,975,instapayment,,false
621,140,americanexpress,,
622,78,jcb,,false
623,669,maestro,,false
624,94,jcb,,
625,67,jcb,,true
626,410,jcb,,
627,697,jcb,,true
628,926,diners-club-enroute,,
629,809,diners-club-carte-blanche,,
630,328,jcb,,true
631,563,mastercard,,
632,969,diners-club-enroute,,true
633,462,mastercard,,
634,257,maestro,,false
635,566,mastercard,,true
636,802,visa-electron,,
637,80,mastercard,,false
638,846,jcb,,true
639,847,mastercard,,
640,405,jcb,,
641,163,jcb,,
642,162,jcb,,false
643,76,jcb,,
644,612,diners-club-enroute,,
645,260,jcb,,true
646,879,switch,,
647,913,switch,,true
648,310,jcb,,false
649,20,china-unionpay,,true
650,48,bankcard,,false
651,144,maestro,,
652,44,switch,,true
653,654,maestro,,true
654,840,mastercard,,false
655,908,switch,,false
656,286,jcb,,true
657,985,switch,,
658,585,visa,,true
659,993,china-unionpay,,true
660,718,jcb,,false
661,611,americanexpress,,
662,486,instapayment,,true
663,969,china-unionpay,,
664,385,jcb,,true
665,146,mastercard,,
666,530,instapayment,,
667,647,diners-club-us-ca,,false
668,856,jcb,,
669,876,jcb,,true
670,331,visa-electron,,
671,95,mastercard,,true
672,300,jcb,,
673,528,mastercard,,
674,542,instapayment,,
675,982,jcb,,
676,152,mastercard,,
677,792,visa-electron,,false
678,263,jcb,,
679,4,americanexpress,,
680,664,jcb,,true
681,450,jcb,,true
682,260,switch,,
683,575,laser,,false
684,810,jcb,,false
685,126,mastercard,,
686,474,jcb,,
687,544,jcb,,false
688,94,jcb,,false
689,530,americanexpress,,true
690,713,solo,,false
691,641,bankcard,,true
692,585,jcb,,
693,502,laser,,false
694,265,mastercard,,
695,497,jcb,,
696,20,jcb,,
697,776,diners-club-carte-blanche,,
698,434,visa-electron,,
699,679,switch,,
700,122,jcb,,true
701,690,china-unionpay,,true
702,491,mastercard,,
703,864,visa-electron,,
704,297,jcb,,
705,821,maestro,,
706,996,americanexpress,,true
707,760,jcb,,true
708,493,mastercard,,false
709,249,americanexpress,,false
710,797,diners-club-enroute,,false
711,604,maestro,,false
712,600,mastercard,,
713,889,china-unionpay,,false
714,915,diners-club-carte-blanche,,true
715,885,maestro,,
716,791,americanexpress,,
717,122,mastercard,,true
718,679,jcb,,
719,805,diners-club-enroute,,
720,952,mastercard,,false
721,342,jcb,,
722,195,bankcard,,true
723,552,jcb,,
724,594,diners-club-enroute,,false
725,208,switch,,false
726,224,jcb,,true
727,883,visa,,
728,30,maestro,,false
729,617,jcb,,true
730,729,bankcard,,false
731,364,mastercard,,
732,281,diners-club-carte-blanche,,false
733,951,china-unionpay,,
734,340,jcb,,true
735,677,switch,,
736,938,china-unionpay,,
737,238,americanexpress,,
738,944,jcb,,true
739,521,jcb,,
740,163,jcb,,
741,274,jcb,,true
742,159,jcb,,
743,856,americanexpress,,false
744,111,visa-electron,,
745,813,jcb,,
746,917,visa-electron,,
747,384,jcb,,false
748,641,jcb,,false
749,822,jcb,,
750,980,jcb,,
751,451,china-unionpay,,
752,214,jcb,,false
753,486,diners-club-enroute,,
754,649,jcb,,true
755,219,diners-club-enroute,,true
756,319,visa,,
757,769,instapayment,,
758,916,maestro,,false
759,948,americanexpress,,
760,170,mastercard,,true
761,995,switch,,
762,640,jcb,,
763,812,americanexpress,,
764,549,china-unionpay,,
765,830,laser,,
766,555,maestro,,false
767,2,jcb,,
768,790,maestro,,
769,561,switch,,true
770,625,diners-club-carte-blanche,,
771,454,instapayment,,true
772,345,jcb,,
773,805,americanexpress,,
774,192,jcb,,false
775,997,maestro,,
776,996,maestro,,
777,104,jcb,,
778,424,diners-club-us-ca,,false
779,665,bankcard,,false
780,378,mastercard,,
781,925,china-unionpay,,true
782,852,jcb,,
783,151,mastercard,true,
784,791,jcb,,
785,115,mastercard,,
786,484,visa,,false
787,783,mastercard,,false
788,7,mastercard,,true
789,301,jcb,,
790,249,jcb,,true
791,797,jcb,,true
792,704,visa,,false
793,247,china-unionpay,,
794,927,bankcard,,false
795,661,visa-electron,,
796,658,bankcard,,
797,667,mastercard,,
798,498,switch,,true
799,576,jcb,,false
800,56,switch,,
801,902,jcb,,
802,82,mastercard,,
803,633,switch,,false
804,960,switch,,
805,320,diners-club-enroute,,false
806,788,diners-club-enroute,,false
807,818,mastercard,,false
808,834,jcb,,true
809,997,jcb,,false
810,86,americanexpress,,
811,171,visa,,
812,336,jcb,,
813,857,jcb,,false
814,990,jcb,,false
815,308,jcb,,false
816,810,bankcard,,true
817,241,visa,,true
818,582,jcb,,
819,231,maestro,,
820,559,visa-electron,,
821,52,jcb,,true
822,753,bankcard,,false
823,830,diners-club-enroute,,true
824,781,switch,,false
825,510,laser,,
826,540,laser,,
827,768,bankcard,,true
828,805,instapayment,,
829,705,switch,,false
830,414,jcb,,
831,728,jcb,,true
832,10,jcb,,true
833,375,jcb,,
834,688,jcb,,false
835,730,jcb,,true
836,301,jcb,,
837,384,solo,true,
838,482,switch,,true
839,591,jcb,,true
840,732,visa-electron,,
841,164,diners-club-carte-blanche,,
842,681,mastercard,,true
843,198,maestro,,
844,376,china-unionpay,,false
845,362,americanexpress,,false
846,648,jcb,,false
847,389,laser,,false
848,665,diners-club-us-ca,,false
849,455,americanexpress,,true
850,166,maestro,,false
851,757,diners-club-enroute,,true
852,810,diners-club-enroute,,
853,150,jcb,,false
854,83,jcb,,true
855,901,jcb,,
856,68,mastercard,,
857,590,jcb,,
858,652,mastercard,,
859,558,americanexpress,,
860,661,mastercard,,false
861,768,jcb,,false
862,765,mastercard,,false
863,749,jcb,,false
864,890,jcb,,true
865,559,visa,,true
866,526,jcb,,false
867,459,diners-club-carte-blanche,,true
868,856,jcb,,
869,785,americanexpress,,
870,500,diners-club-enroute,,
871,753,jcb,,false
872,217,jcb,,
873,392,diners-club-carte-blanche,,true
874,540,diners-club-enroute,,
875,5,jcb,,false
876,875,jcb,,false
877,114,jcb,,true
878,454,instapayment,,true
879,174,jcb,,
880,771,laser,,
881,658,jcb,,false
882,149,china-unionpay,,
883,765,jcb,,
884,756,jcb,,
885,653,americanexpress,,true
886,320,mastercard,,true
887,340,jcb,,
888,730,jcb,,false
889,458,china-unionpay,,
890,707,jcb,,true
891,479,jcb,,true
892,154,jcb,,true
893,27,maestro,,
894,416,diners-club-enroute,,true
895,285,instapayment,,false
896,86,bankcard,,false
897,318,mastercard,,true
898,100,jcb,,
899,281,instapayment,,
900,571,jcb,,true
901,541,laser,,true
902,23,jcb,,true
903,377,jcb,,
904,763,mastercard,,
905,360,jcb,,
906,556,jcb,,
907,682,maestro,,
908,730,china-unionpay,,false
909,871,jcb,,true
910,347,diners-club-carte-blanche,,
911,510,maestro,,
912,466,jcb,,true
913,942,bankcard,,true
914,817,jcb,,false
915,971,jcb,,
916,75,jcb,,false
917,690,mastercard,,
918,167,diners-club-us-ca,,
919,109,jcb,,true
920,873,jcb,,
921,612,laser,,
922,482,diners-club-carte-blanche,,false
923,660,jcb,,false
924,292,jcb,,true
925,554,maestro,,
926,811,jcb,,false
927,407,jcb,,
928,488,jcb,,true
929,27,switch,,
930,835,jcb,,false
931,253,maestro,,
932,799,china-unionpay,,
933,845,americanexpress,,
934,991,maestro,,false
935,13,americanexpress,,
936,184,mastercard,,true
937,854,jcb,,false
938,575,jcb,,true
939,752,jcb,,
940,432,visa-electron,,true
941,100,jcb,,
942,612,jcb,,false
943,421,jcb,,
944,363,mastercard,,
945,138,bankcard,,
946,280,laser,,true
947,678,jcb,,false
948,123,jcb,,
949,795,diners-club-us-ca,,true
950,193,americanexpress,,
951,736,jcb,,false
952,524,instapayment,,
953,281,jcb,,false
954,246,jcb,,
955,397,jcb,,
956,92,jcb,,true
957,154,jcb,,true
958,949,jcb,,
959,325,maestro,,false
960,131,diners-club-enroute,,
961,731,jcb,,
962,635,jcb,,
963,509,jcb,,
964,991,switch,,false
965,211,jcb,,
966,359,jcb,,true
967,783,jcb,,
968,399,mastercard,,
969,672,americanexpress,,
970,429,jcb,,
971,966,jcb,,false
972,370,jcb,,
973,188,diners-club-enroute,,false
974,393,mastercard,,false
975,365,jcb,,
976,255,jcb,,
977,442,solo,,true
978,563,maestro,,true
979,583,americanexpress,,true
980,220,jcb,,false
981,975,jcb,,false
982,673,jcb,,true
983,547,jcb,,
984,727,visa-electron,,
985,34,visa-electron,,true
986,754,switch,,false
987,864,jcb,,true
988,271,bankcard,,
989,332,jcb,,false
990,821,jcb,,true
991,733,visa-electron,,
992,636,jcb,,false
993,170,diners-club-enroute,,
994,325,jcb,,false
995,320,laser,,false
996,213,china-unionpay,,
997,900,switch,,false
998,413,instapayment,,false
999,26,jcb,,true
1000,434,jcb,,true
